id,created_at,z_rms_velocity_in_s,z_rms_velocity_mm_s,temperature_f,temperature_c,x_rms_velocity_in_s,x_rms_velocity_mm_s,z_peak_acceleration_g,x_peak_acceleration_g,z_peak_vel_comp_freq_hz,x_peak_vel_comp_freq_hz,z_rms_acceleration_g,x_rms_acceleration_g,z_kurtosis,x_kurtosis,z_crest_factor,x_crest_factor,z_peak_velocity_in_s,z_peak_velocity_mm_s,x_peak_velocity_in_s,x_peak_velocity_mm_s,z_high_freq_rms_accel_g,x_high_freq_rms_accel_g,fault,rpm
55030,2026-05-21 01:40:26.110815+00:00,0.0553,1.406,74.75,23.75,0.1214,3.084,0.473,0.503,61.0,56.1,0.083,0.14,2.497,2.46,3.757,3.686,0.0782,1.988,0.1717,4.361,0.126,0.136,rolamento_inner,500.0
55032,2026-05-21 01:40:30.111181+00:00,0.0638,1.623,72.6,22.56,0.1188,3.018,0.413,0.494,58.5,56.1,0.085,0.139,2.306,2.612,3.28,3.549,0.0903,2.295,0.168,4.269,0.125,0.139,rolamento_inner,500.0
55085,2026-05-21 01:42:16.116073+00:00,0.0648,1.646,72.56,22.53,0.1188,3.018,0.411,0.478,58.5,56.1,0.088,0.136,2.353,2.407,3.264,3.496,0.0916,2.328,0.168,4.269,0.126,0.136,rolamento_inner,500.0
55092,2026-05-21 01:42:30.118515+00:00,0.0613,1.557,72.98,22.76,0.1086,2.759,0.491,0.464,61.0,56.1,0.089,0.134,2.399,2.433,3.893,3.375,0.0867,2.202,0.1536,3.903,0.126,0.137,rolamento_inner,500.0
55112,2026-05-21 01:43:10.120747+00:00,0.0592,1.505,73.02,22.79,0.1164,2.958,0.537,0.492,61.0,56.1,0.089,0.135,2.313,2.504,4.275,3.591,0.0838,2.129,0.1647,4.184,0.125,0.137,rolamento_inner,500.0
55124,2026-05-21 01:43:34.121546+00:00,0.0631,1.603,73.77,23.2,0.1262,3.205,0.538,0.556,58.5,56.1,0.086,0.145,2.4,2.474,4.271,4.021,0.0892,2.268,0.1785,4.533,0.126,0.138,rolamento_inner,500.0
55152,2026-05-21 01:44:30.125534+00:00,0.0601,1.527,72.79,22.66,0.1054,2.677,0.377,0.556,61.0,56.1,0.08,0.126,2.287,2.628,3.027,4.017,0.085,2.16,0.149,3.786,0.124,0.138,rolamento_inner,500.0
55238,2026-05-21 01:47:22.134772+00:00,0.0579,1.472,74.19,23.44,0.1113,2.829,0.462,0.579,58.5,53.7,0.081,0.128,2.357,2.627,3.595,4.095,0.0819,2.082,0.1575,4.001,0.128,0.141,rolamento_inner,500.0
55242,2026-05-21 01:47:30.136126+00:00,0.0625,1.588,72.98,22.76,0.1214,3.085,0.355,0.593,58.5,56.1,0.084,0.144,2.221,2.504,2.782,4.224,0.0884,2.246,0.1717,4.362,0.127,0.14,rolamento_inner,500.0
55301,2026-05-21 01:49:28.143156+00:00,0.0529,1.345,73.02,22.79,0.1067,2.711,0.485,0.516,61.0,56.1,0.077,0.124,2.408,2.515,3.825,3.734,0.0748,1.902,0.1509,3.835,0.127,0.138,rolamento_inner,500.0
55314,2026-05-21 01:49:54.144791+00:00,0.0602,1.529,73.26,22.92,0.1241,3.153,0.387,0.51,58.5,56.1,0.085,0.141,2.284,2.491,3.082,3.741,0.0851,2.163,0.1755,4.459,0.125,0.136,rolamento_inner,500.0
55361,2026-05-21 01:51:28.150261+00:00,0.061,1.55,73.49,23.05,0.122,3.099,0.453,0.482,58.5,56.1,0.091,0.141,2.44,2.531,3.565,3.48,0.0863,2.193,0.1725,4.383,0.127,0.138,rolamento_inner,500.0
55372,2026-05-21 01:51:50.151700+00:00,0.0611,1.553,73.35,22.97,0.1172,2.977,0.403,0.502,58.5,56.1,0.086,0.14,2.33,2.438,3.236,3.714,0.0864,2.196,0.1658,4.211,0.124,0.135,rolamento_inner,500.0
55380,2026-05-21 01:52:06.152643+00:00,0.0577,1.465,73.26,22.92,0.1185,3.012,0.5,0.522,58.5,56.1,0.085,0.139,2.405,2.581,3.999,3.779,0.0816,2.072,0.1677,4.259,0.125,0.138,rolamento_inner,500.0
55397,2026-05-21 01:52:40.154594+00:00,0.0624,1.587,73.26,22.92,0.1162,2.952,0.446,0.533,58.5,56.1,0.087,0.135,2.358,2.463,3.525,3.912,0.0883,2.245,0.1643,4.175,0.126,0.136,rolamento_inner,500.0
55459,2026-05-21 01:54:44.162021+00:00,0.0599,1.522,73.35,22.97,0.1122,2.85,0.435,0.523,61.0,56.1,0.092,0.133,2.401,2.567,3.427,3.746,0.0847,2.152,0.1586,4.03,0.126,0.139,rolamento_inner,500.0
55476,2026-05-21 01:55:18.164287+00:00,0.0594,1.51,74.84,23.8,0.1048,2.663,0.438,0.538,61.0,53.7,0.089,0.13,2.33,2.378,3.472,3.918,0.084,2.135,0.1482,3.766,0.126,0.137,rolamento_inner,500.0
55478,2026-05-21 01:55:22.162920+00:00,0.066,1.677,73.4,23.0,0.1185,3.012,0.474,0.498,58.5,56.1,0.094,0.139,2.447,2.504,3.707,3.586,0.0933,2.372,0.1677,4.259,0.128,0.139,rolamento_inner,500.0
55556,2026-05-21 02:16:54.971980+00:00,0.0622,1.58,71.49,21.94,0.0888,2.255,0.655,1.03,61.0,61.0,0.162,0.168,2.788,3.083,4.066,4.233,0.088,2.235,0.1255,3.189,0.161,0.243,rolamento_inner,2000.0
55594,2026-05-21 02:18:10.976482+00:00,0.0661,1.68,70.74,21.52,0.092,2.338,0.668,0.834,58.5,61.0,0.176,0.18,2.928,2.973,3.971,3.418,0.0935,2.376,0.1301,3.306,0.168,0.244,rolamento_inner,2000.0
55624,2026-05-21 02:19:10.979897+00:00,0.0591,1.501,70.0,21.11,0.0896,2.276,0.62,1.089,61.0,61.0,0.163,0.18,2.991,2.942,3.679,4.345,0.0836,2.123,0.1267,3.219,0.168,0.25,rolamento_inner,2000.0
55627,2026-05-21 02:19:16.980116+00:00,0.0694,1.765,69.68,20.93,0.1005,2.554,0.581,0.827,61.0,61.0,0.165,0.178,2.745,2.966,3.453,3.429,0.0982,2.496,0.1422,3.612,0.168,0.241,rolamento_inner,2000.0
55650,2026-05-21 02:20:02.983001+00:00,0.0659,1.675,69.49,20.83,0.1034,2.626,0.533,0.828,61.0,58.5,0.156,0.17,2.758,2.991,3.179,3.401,0.0933,2.369,0.1462,3.714,0.167,0.243,rolamento_inner,2000.0
55689,2026-05-21 02:21:20.987425+00:00,0.0628,1.597,69.59,20.88,0.0907,2.303,0.616,0.946,58.5,58.5,0.16,0.18,2.778,3.108,3.65,3.726,0.0889,2.258,0.1282,3.258,0.168,0.253,rolamento_inner,2000.0
55771,2026-05-21 02:24:04.996834+00:00,0.0635,1.615,69.35,20.75,0.1021,2.595,0.612,0.92,61.0,61.0,0.161,0.168,2.812,3.022,3.498,3.506,0.0899,2.283,0.1444,3.67,0.175,0.262,rolamento_inner,2000.0
55793,2026-05-21 02:24:48.999534+00:00,0.0621,1.578,69.26,20.7,0.09,2.287,0.589,0.871,61.0,61.0,0.151,0.176,2.793,3.021,3.554,3.571,0.0878,2.231,0.1273,3.235,0.165,0.243,rolamento_inner,2000.0
55811,2026-05-21 02:25:25.001594+00:00,0.0638,1.622,69.26,20.7,0.0976,2.48,0.653,0.877,61.0,61.0,0.167,0.191,2.818,2.9,3.951,3.451,0.0903,2.295,0.1381,3.508,0.165,0.254,rolamento_inner,2000.0
55840,2026-05-21 02:26:23.004906+00:00,0.0619,1.573,69.26,20.7,0.0957,2.431,0.736,1.029,61.0,61.0,0.156,0.172,2.888,3.187,4.334,4.015,0.0875,2.224,0.1353,3.438,0.169,0.256,rolamento_inner,2000.0
55862,2026-05-21 02:27:07.005469+00:00,0.0701,1.782,69.31,20.72,0.1045,2.654,0.62,0.957,61.0,61.0,0.182,0.201,2.888,3.064,3.52,3.673,0.0992,2.521,0.1477,3.754,0.176,0.26,rolamento_inner,2000.0
55941,2026-05-21 02:29:45.016800+00:00,0.0693,1.76,69.4,20.78,0.1209,3.07,0.563,1.151,61.0,58.5,0.165,0.2,2.83,3.018,3.359,4.361,0.098,2.489,0.1709,4.342,0.167,0.263,rolamento_inner,2000.0
55973,2026-05-21 02:30:49.020347+00:00,0.0644,1.636,69.77,20.98,0.0906,2.302,0.624,0.964,61.0,61.0,0.167,0.181,2.891,2.921,3.68,3.791,0.0911,2.314,0.1281,3.255,0.169,0.254,rolamento_inner,2000.0
55984,2026-05-21 02:31:11.021850+00:00,0.0691,1.757,69.73,20.96,0.1051,2.671,0.714,0.864,61.0,58.5,0.178,0.2,2.727,2.943,4.184,3.458,0.0978,2.485,0.1487,3.778,0.17,0.25,rolamento_inner,2000.0
55988,2026-05-21 02:31:19.022346+00:00,0.0658,1.672,69.54,20.85,0.101,2.565,0.695,0.893,61.0,61.0,0.141,0.175,2.954,3.107,4.052,3.495,0.0931,2.364,0.1428,3.628,0.171,0.255,rolamento_inner,2000.0
56005,2026-05-21 02:31:53.024288+00:00,0.065,1.652,69.54,20.85,0.0889,2.259,0.63,1.025,61.0,61.0,0.164,0.196,2.853,3.059,3.671,4.009,0.092,2.337,0.1258,3.195,0.171,0.255,rolamento_inner,2000.0
56015,2026-05-21 02:32:13.025068+00:00,0.0662,1.681,69.59,20.88,0.0971,2.467,0.626,0.995,61.0,61.0,0.173,0.18,2.848,3.02,3.732,3.747,0.0936,2.378,0.1373,3.489,0.167,0.265,rolamento_inner,2000.0
56067,2026-05-21 02:33:57.031599+00:00,0.0694,1.762,69.86,21.03,0.105,2.667,0.888,1.042,58.5,61.0,0.17,0.197,3.04,3.2,5.008,3.906,0.0981,2.493,0.1485,3.772,0.177,0.266,rolamento_inner,2000.0
56070,2026-05-21 02:34:03.031816+00:00,0.0705,1.792,70.1,21.16,0.1055,2.681,0.601,0.904,61.0,61.0,0.17,0.199,2.847,2.983,3.492,3.55,0.0997,2.534,0.1492,3.791,0.172,0.254,rolamento_inner,2000.0
56111,2026-05-21 02:35:25.036855+00:00,0.0656,1.668,70.1,21.16,0.1038,2.636,0.663,0.95,61.0,9.7,0.175,0.198,2.828,2.828,3.833,3.72,0.0928,2.359,0.1467,3.728,0.173,0.255,rolamento_inner,2000.0
56200,2026-05-21 02:38:23.047459+00:00,0.0719,1.826,69.54,20.85,0.1053,2.676,0.635,0.953,9.7,61.0,0.169,0.19,2.884,2.978,3.626,3.452,0.1016,2.583,0.149,3.785,0.175,0.276,rolamento_inner,2000.0
56247,2026-05-21 02:39:57.053198+00:00,0.0651,1.654,70.98,21.65,0.0826,2.099,0.593,1.191,61.0,61.0,0.162,0.166,2.859,3.121,3.381,4.269,0.0921,2.339,0.1168,2.968,0.175,0.279,rolamento_inner,2000.0
56294,2026-05-21 02:41:31.058731+00:00,0.0676,1.717,69.86,21.03,0.1007,2.559,0.614,1.027,61.0,61.0,0.171,0.192,2.79,3.131,3.593,3.952,0.0956,2.428,0.1424,3.619,0.171,0.26,rolamento_inner,2000.0
56340,2026-05-21 02:43:03.064180+00:00,0.0685,1.742,69.73,20.96,0.096,2.438,0.801,0.957,61.0,61.0,0.163,0.188,2.825,3.184,4.724,3.701,0.0969,2.463,0.1357,3.448,0.169,0.258,rolamento_inner,2000.0
56434,2026-05-21 02:46:11.075645+00:00,0.0755,1.918,69.63,20.9,0.0915,2.324,0.602,1.046,9.7,61.0,0.175,0.191,2.726,2.969,3.469,4.022,0.1068,2.713,0.1294,3.286,0.173,0.26,rolamento_inner,2000.0
56474,2026-05-21 02:47:31.080364+00:00,0.0795,2.021,69.91,21.06,0.104,2.642,0.697,0.866,9.7,58.5,0.183,0.193,2.805,3.069,3.972,3.41,0.1125,2.858,0.1471,3.737,0.175,0.254,rolamento_inner,2000.0
56487,2026-05-21 02:47:57.082350+00:00,0.0741,1.882,71.58,21.99,0.1013,2.573,0.613,1.003,61.0,58.5,0.177,0.196,2.762,3.079,3.559,3.767,0.1048,2.662,0.1432,3.639,0.172,0.266,rolamento_inner,2000.0
56508,2026-05-21 05:52:21.794736+00:00,0.0696,1.768,64.0,17.78,0.1165,2.96,0.414,0.518,61.0,58.5,0.085,0.12,2.315,2.382,3.095,3.54,0.0984,2.5,0.1648,4.186,0.134,0.146,rolamento_inner,500.0
56539,2026-05-21 05:53:23.798249+00:00,0.0742,1.886,65.11,18.39,0.1105,2.806,0.447,0.502,58.5,58.5,0.084,0.123,2.361,2.321,3.34,3.458,0.105,2.667,0.1562,3.969,0.133,0.145,rolamento_inner,500.0
56579,2026-05-21 05:54:43.802569+00:00,0.0623,1.584,65.02,18.34,0.1001,2.543,0.524,0.529,61.0,9.7,0.083,0.115,2.383,2.417,3.862,3.557,0.0882,2.24,0.1416,3.597,0.135,0.148,rolamento_inner,500.0
56589,2026-05-21 05:55:03.803863+00:00,0.0724,1.84,64.14,17.85,0.1038,2.638,0.489,0.611,61.0,58.5,0.078,0.112,2.356,2.493,3.658,4.154,0.1024,2.603,0.1468,3.73,0.133,0.147,rolamento_inner,500.0
56592,2026-05-21 05:55:09.804086+00:00,0.074,1.882,64.0,17.78,0.1103,2.804,0.431,0.494,17.0,17.0,0.089,0.115,2.33,2.468,3.222,3.338,0.1047,2.661,0.1561,3.965,0.133,0.148,rolamento_inner,500.0
56623,2026-05-21 05:56:11.808005+00:00,0.0649,1.648,64.05,17.8,0.1003,2.55,0.441,0.581,61.0,58.5,0.084,0.116,2.326,2.464,3.289,3.985,0.0917,2.331,0.1419,3.606,0.134,0.145,rolamento_inner,500.0
56658,2026-05-21 05:57:21.811881+00:00,0.0721,1.832,64.46,18.03,0.1094,2.779,0.453,0.465,58.5,58.5,0.084,0.122,2.352,2.37,3.359,3.183,0.102,2.59,0.1547,3.931,0.134,0.146,rolamento_inner,500.0
56661,2026-05-21 05:57:27.811038+00:00,0.0606,1.54,66.31,19.06,0.0952,2.42,0.514,0.538,61.0,58.5,0.085,0.116,2.321,2.414,3.828,3.654,0.0857,2.178,0.1347,3.422,0.134,0.147,rolamento_inner,500.0
56686,2026-05-21 05:58:17.815174+00:00,0.0642,1.631,64.83,18.24,0.0933,2.37,0.482,0.601,58.5,58.5,0.09,0.122,2.326,2.47,3.6,4.144,0.0908,2.307,0.1319,3.351,0.133,0.145,rolamento_inner,500.0
56705,2026-05-21 05:58:55.817575+00:00,0.064,1.627,64.88,18.26,0.0999,2.539,0.405,0.508,61.0,58.5,0.082,0.111,2.253,2.426,3.072,3.487,0.0906,2.302,0.1413,3.591,0.131,0.145,rolamento_inner,500.0
56713,2026-05-21 05:59:11.818268+00:00,0.0638,1.622,64.83,18.24,0.1001,2.544,0.469,0.474,58.5,58.5,0.077,0.117,2.285,2.411,3.502,3.224,0.0903,2.294,0.1416,3.599,0.133,0.146,rolamento_inner,500.0
56733,2026-05-21 05:59:51.820759+00:00,0.0611,1.553,66.08,18.93,0.0878,2.231,0.446,0.563,61.0,58.5,0.086,0.116,2.398,2.42,3.32,3.855,0.0864,2.196,0.1242,3.155,0.134,0.146,rolamento_inner,500.0
56749,2026-05-21 06:00:23.822225+00:00,0.0525,1.334,65.2,18.44,0.0734,1.865,0.409,0.494,61.0,61.0,0.082,0.105,2.237,2.379,3.087,3.425,0.0742,1.886,0.1038,2.638,0.132,0.144,rolamento_inner,500.0
56753,2026-05-21 06:00:31.821979+00:00,0.0646,1.642,66.17,18.98,0.0781,1.983,0.476,0.516,61.0,61.0,0.074,0.097,2.33,2.508,3.602,3.505,0.0914,2.323,0.1104,2.805,0.132,0.147,rolamento_inner,500.0
56832,2026-05-21 06:03:09.831880+00:00,0.0729,1.851,66.58,19.21,0.0963,2.448,0.397,0.538,58.5,58.5,0.08,0.12,2.218,2.484,3.025,3.719,0.103,2.618,0.1362,3.461,0.131,0.144,rolamento_inner,500.0
56878,2026-05-21 06:04:41.837424+00:00,0.0744,1.89,66.54,19.18,0.1056,2.683,0.549,0.534,9.7,12.2,0.078,0.113,2.372,2.597,4.121,3.646,0.1052,2.673,0.1493,3.794,0.133,0.146,rolamento_inner,500.0
56888,2026-05-21 06:05:01.838618+00:00,0.0569,1.445,66.67,19.26,0.0759,1.93,0.476,0.495,61.0,61.0,0.094,0.112,2.295,2.369,3.599,3.429,0.0804,2.044,0.1074,2.729,0.132,0.144,rolamento_inner,500.0
56971,2026-05-21 06:07:47.848298+00:00,0.0664,1.686,67.6,19.77,0.1027,2.609,0.508,0.64,58.5,58.5,0.084,0.13,2.392,2.605,3.838,4.38,0.0939,2.385,0.1452,3.689,0.132,0.146,rolamento_inner,500.0
56976,2026-05-21 06:07:57.849111+00:00,0.062,1.577,67.46,19.7,0.0988,2.511,0.546,0.492,58.5,58.5,0.087,0.133,2.352,2.401,4.153,3.408,0.0878,2.23,0.1398,3.552,0.131,0.144,rolamento_inner,500.0
57000,2026-05-21 06:08:45.851851+00:00,0.0617,1.567,69.49,20.83,0.0826,2.1,0.589,0.473,61.0,61.0,0.093,0.125,2.49,2.359,4.479,3.319,0.0872,2.216,0.1169,2.97,0.131,0.142,rolamento_inner,500.0
57015,2026-05-21 06:09:15.853979+00:00,0.0616,1.566,67.92,19.95,0.0855,2.171,0.435,0.553,58.5,61.0,0.089,0.119,2.334,2.437,3.282,3.822,0.0872,2.215,0.1209,3.071,0.132,0.144,rolamento_inner,500.0
57076,2026-05-21 06:11:17.859784+00:00,0.0583,1.482,68.48,20.26,0.1005,2.553,0.564,0.591,58.5,58.5,0.083,0.129,2.501,2.686,4.268,4.094,0.0825,2.096,0.1421,3.611,0.132,0.144,rolamento_inner,500.0
57080,2026-05-21 06:11:25.861488+00:00,0.0712,1.809,68.8,20.44,0.1004,2.55,0.45,0.548,58.5,58.5,0.085,0.127,2.38,2.59,3.439,3.739,0.1007,2.558,0.142,3.606,0.13,0.146,rolamento_inner,500.0
57102,2026-05-21 06:12:09.864035+00:00,0.0675,1.714,68.66,20.36,0.1024,2.602,0.45,0.531,58.5,58.5,0.094,0.132,2.392,2.438,3.468,3.741,0.0954,2.424,0.1448,3.68,0.129,0.142,rolamento_inner,500.0
57155,2026-05-21 06:13:55.870563+00:00,0.067,1.703,69.03,20.57,0.1035,2.628,0.478,0.477,61.0,58.5,0.083,0.126,2.42,2.385,3.639,3.314,0.0948,2.409,0.1463,3.717,0.131,0.144,rolamento_inner,500.0
57172,2026-05-21 06:14:29.872284+00:00,0.0701,1.783,69.31,20.72,0.1025,2.603,0.499,0.487,61.0,58.5,0.091,0.128,2.353,2.361,3.848,3.427,0.0992,2.521,0.1449,3.682,0.129,0.142,rolamento_inner,500.0
57192,2026-05-21 06:15:09.874711+00:00,0.0522,1.326,69.49,20.83,0.0759,1.927,0.439,0.509,61.0,61.0,0.089,0.113,2.285,2.443,3.366,3.601,0.0738,1.875,0.1073,2.726,0.13,0.141,rolamento_inner,500.0
57234,2026-05-21 06:16:33.879719+00:00,0.0603,1.532,69.68,20.93,0.0846,2.151,0.533,0.538,61.0,61.0,0.091,0.121,2.428,2.507,4.059,3.707,0.0853,2.167,0.1197,3.042,0.131,0.145,rolamento_inner,500.0
57263,2026-05-21 06:17:31.883035+00:00,0.0602,1.53,69.82,21.01,0.0887,2.254,0.407,0.411,61.0,58.5,0.081,0.112,2.297,2.325,3.148,2.923,0.0852,2.164,0.1255,3.188,0.129,0.14,rolamento_inner,500.0
57304,2026-05-21 06:18:53.888070+00:00,0.0727,1.846,70.7,21.5,0.1077,2.736,0.465,0.552,58.5,58.5,0.086,0.127,2.391,2.502,3.539,3.893,0.1028,2.611,0.1523,3.87,0.131,0.141,rolamento_inner,500.0
57322,2026-05-21 06:19:29.890233+00:00,0.0676,1.717,70.61,21.45,0.093,2.363,0.435,0.53,61.0,58.5,0.089,0.127,2.326,2.52,3.4,3.725,0.0956,2.429,0.1315,3.342,0.127,0.142,rolamento_inner,500.0
57368,2026-05-21 06:21:01.895976+00:00,0.0621,1.578,70.65,21.47,0.0765,1.943,0.46,0.55,61.0,61.0,0.085,0.11,2.452,2.579,3.541,3.86,0.0879,2.232,0.1082,2.749,0.13,0.142,rolamento_inner,500.0
57377,2026-05-21 06:21:19.896797+00:00,0.0566,1.438,70.61,21.45,0.0697,1.77,0.477,0.513,61.0,61.0,0.084,0.106,2.355,2.573,3.713,3.633,0.0801,2.034,0.0986,2.504,0.128,0.141,rolamento_inner,500.0
57415,2026-05-21 06:22:35.901658+00:00,0.0638,1.62,70.84,21.57,0.0907,2.305,0.416,0.495,61.0,58.5,0.091,0.124,2.322,2.527,3.217,3.491,0.0902,2.291,0.1283,3.26,0.129,0.141,rolamento_inner,500.0
57421,2026-05-21 06:22:47.902241+00:00,0.0552,1.404,72.51,22.5,0.0844,2.145,0.585,0.469,61.0,61.0,0.093,0.115,2.477,2.43,4.483,3.301,0.0781,1.986,0.1194,3.034,0.13,0.142,rolamento_inner,500.0
57480,2026-05-21 06:24:45.909608+00:00,0.0646,1.641,72.28,22.37,0.087,2.21,0.474,0.521,61.0,61.0,0.086,0.122,2.342,2.564,3.72,3.696,0.0914,2.321,0.123,3.125,0.127,0.141,rolamento_inner,500.0
57487,2026-05-21 06:24:59.910448+00:00,0.0582,1.479,71.12,21.73,0.1021,2.595,0.459,0.597,58.5,58.5,0.091,0.131,2.288,2.614,3.611,4.272,0.0823,2.091,0.1444,3.67,0.127,0.139,rolamento_inner,500.0
57497,2026-05-21 06:41:08.704011+00:00,0.063,1.602,72.98,22.76,0.0828,2.105,0.417,0.475,61.0,58.5,0.11,0.134,2.406,2.519,3.245,3.202,0.0892,2.266,0.1172,2.977,0.128,0.148,rolamento_inner,1000.0
57531,2026-05-21 06:42:16.720140+00:00,0.0685,1.74,72.56,22.53,0.0902,2.291,0.574,0.523,61.0,61.0,0.118,0.145,2.492,2.501,4.356,3.542,0.0969,2.462,0.1275,3.24,0.131,0.147,rolamento_inner,1000.0
57591,2026-05-21 06:44:16.726978+00:00,0.0636,1.616,72.14,22.3,0.0966,2.455,0.468,0.558,61.0,61.0,0.123,0.154,2.357,2.492,3.56,3.807,0.09,2.286,0.1367,3.473,0.131,0.146,rolamento_inner,1000.0
57619,2026-05-21 06:45:12.729715+00:00,0.0655,1.665,72.05,22.25,0.0793,2.015,0.428,0.603,61.0,61.0,0.126,0.159,2.341,2.672,3.26,4.036,0.0927,2.355,0.1122,2.85,0.131,0.149,rolamento_inner,1000.0
57651,2026-05-21 06:46:16.733916+00:00,0.0604,1.535,72.09,22.27,0.0878,2.231,0.471,0.605,61.0,61.0,0.122,0.169,2.412,2.629,3.567,3.857,0.0854,2.17,0.1242,3.156,0.132,0.156,rolamento_inner,1000.0
57652,2026-05-21 06:46:18.734216+00:00,0.058,1.475,72.0,22.22,0.0907,2.304,0.428,0.508,61.0,61.0,0.114,0.157,2.336,2.539,3.274,3.474,0.0821,2.085,0.1283,3.259,0.13,0.146,rolamento_inner,1000.0
57708,2026-05-21 06:48:10.740869+00:00,0.0611,1.553,72.56,22.53,0.0909,2.309,0.543,0.537,61.0,61.0,0.127,0.166,2.51,2.696,4.097,3.541,0.0865,2.197,0.1285,3.265,0.132,0.151,rolamento_inner,1000.0
57753,2026-05-21 06:49:40.746303+00:00,0.0605,1.539,72.19,22.32,0.0948,2.408,0.427,0.583,61.0,61.0,0.123,0.167,2.406,2.687,3.224,3.757,0.0856,2.176,0.1341,3.406,0.132,0.155,rolamento_inner,1000.0
57760,2026-05-21 06:49:54.746850+00:00,0.062,1.576,72.0,22.22,0.0739,1.877,0.444,0.482,58.5,61.0,0.105,0.133,2.374,2.549,3.4,3.235,0.0877,2.228,0.1045,2.655,0.13,0.149,rolamento_inner,1000.0
57775,2026-05-21 06:50:24.748889+00:00,0.0616,1.567,72.28,22.37,0.0879,2.234,0.553,0.584,61.0,58.5,0.12,0.167,2.587,2.677,4.171,3.858,0.0872,2.216,0.1243,3.159,0.132,0.151,rolamento_inner,1000.0
57800,2026-05-21 06:51:14.751951+00:00,0.063,1.6,72.14,22.3,0.08,2.032,0.545,0.618,61.0,58.5,0.123,0.162,2.465,2.707,4.142,4.119,0.0891,2.263,0.1131,2.874,0.131,0.15,rolamento_inner,1000.0
57882,2026-05-21 06:53:58.761619+00:00,0.0603,1.531,72.6,22.56,0.0889,2.258,0.42,0.552,61.0,58.5,0.098,0.134,2.36,2.648,3.272,3.709,0.0852,2.166,0.1257,3.194,0.128,0.148,rolamento_inner,1000.0
57885,2026-05-21 06:54:04.761079+00:00,0.0645,1.639,72.79,22.66,0.076,1.932,0.491,0.604,61.0,61.0,0.118,0.14,2.509,2.673,3.757,4.0,0.0912,2.318,0.1076,2.733,0.13,0.151,rolamento_inner,1000.0
57893,2026-05-21 06:54:20.762742+00:00,0.0647,1.645,72.32,22.4,0.0807,2.05,0.511,0.541,61.0,61.0,0.122,0.15,2.437,2.743,3.868,3.554,0.0916,2.327,0.1141,2.899,0.132,0.152,rolamento_inner,1000.0
57915,2026-05-21 06:55:04.765543+00:00,0.0629,1.597,72.93,22.74,0.0823,2.091,0.454,0.513,61.0,61.0,0.114,0.151,2.561,2.665,3.412,3.279,0.0889,2.259,0.1164,2.958,0.133,0.156,rolamento_inner,1000.0
57973,2026-05-21 06:57:00.772239+00:00,0.0595,1.513,72.32,22.4,0.0861,2.187,0.47,0.561,61.0,61.0,0.115,0.133,2.469,2.627,3.593,3.732,0.0842,2.139,0.1218,3.093,0.131,0.15,rolamento_inner,1000.0
57985,2026-05-21 06:57:24.773807+00:00,0.0572,1.453,72.6,22.56,0.0797,2.024,0.489,0.532,61.0,58.5,0.113,0.137,2.372,2.671,3.76,3.521,0.0809,2.056,0.1127,2.862,0.13,0.151,rolamento_inner,1000.0
57987,2026-05-21 06:57:28.774106+00:00,0.0667,1.696,72.51,22.5,0.0768,1.951,0.542,0.5,61.0,58.5,0.114,0.138,2.391,2.616,4.139,3.296,0.0944,2.399,0.1086,2.76,0.131,0.151,rolamento_inner,1000.0
57996,2026-05-21 06:57:46.775027+00:00,0.0623,1.582,72.37,22.43,0.0759,1.929,0.431,0.594,61.0,61.0,0.115,0.138,2.4,2.728,3.308,3.956,0.0881,2.238,0.1074,2.729,0.13,0.15,rolamento_inner,1000.0
58000,2026-05-21 06:57:54.775439+00:00,0.0687,1.747,72.37,22.43,0.0974,2.474,0.484,0.647,12.2,61.0,0.121,0.137,2.432,2.624,3.654,4.22,0.0972,2.47,0.1377,3.499,0.132,0.153,rolamento_inner,1000.0
58015,2026-05-21 06:58:24.777511+00:00,0.0705,1.791,72.37,22.43,0.0823,2.091,0.479,0.568,61.0,58.5,0.108,0.131,2.429,2.649,3.612,3.756,0.0997,2.533,0.1164,2.957,0.132,0.151,rolamento_inner,1000.0
58064,2026-05-21 07:00:02.783428+00:00,0.069,1.752,72.42,22.45,0.0854,2.169,0.507,0.655,61.0,61.0,0.115,0.141,2.443,2.678,3.855,4.319,0.0975,2.478,0.1208,3.068,0.131,0.151,rolamento_inner,1000.0
58068,2026-05-21 07:00:10.783936+00:00,0.0648,1.646,72.37,22.43,0.0907,2.304,0.477,0.564,58.5,61.0,0.129,0.151,2.47,2.65,3.654,3.696,0.0916,2.329,0.1283,3.259,0.13,0.152,rolamento_inner,1000.0
58148,2026-05-21 07:02:50.792937+00:00,0.0582,1.479,72.37,22.43,0.0922,2.343,0.546,0.637,61.0,61.0,0.129,0.147,2.525,2.667,4.121,4.215,0.0823,2.092,0.1304,3.313,0.132,0.151,rolamento_inner,1000.0
58203,2026-05-21 07:04:40.798474+00:00,0.0613,1.558,73.86,23.25,0.0983,2.499,0.567,0.624,61.0,61.0,0.125,0.147,2.451,2.713,4.389,4.153,0.0867,2.203,0.1391,3.534,0.129,0.15,rolamento_inner,1000.0
